nader-rapport-wetsvoorstel-overige-fiscale-maatregelen-2027	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/nader-rapport-wetsvoorstel-overige-fiscale-maatregelen-2027/nader-rapport-inzake-het-wetsvoorstel-overige-fiscale-maatregelen-2027.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/nader-rapport-wetsvoorstel-overige-fiscale-maatregelen-2027__nader-rapport-inzake-het-wetsvoorstel-overige-fiscale-maatregelen-2027.pdf
nader-rapport-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024	05-overig	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/nader-rapport-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024/nader-rapport-inzake-het-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024.pdf	/workspace/Prinsjesdag-2026-begroting-2027/05-overig/nader-rapport-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024__nader-rapport-inzake-het-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024.pdf
opdrachttoets-rvo-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/opdrachttoets-rvo-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups/wetsvoorstel-wet-fiscale-stimulering-start-ups-en-scale-ups-opdrachttoets-rvo.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/opdrachttoets-rvo-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups__wetsvoorstel-wet-fiscale-stimulering-start-ups-en-scale-ups-opdrachttoets-rvo.pdf
overzicht-uitvoerbaarheid	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/overzicht-uitvoerbaarheid/aanbiedingsbrief-bijlage-overzicht-uitvoerbaarheid.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/overzicht-uitvoerbaarheid__aanbiedingsbrief-bijlage-overzicht-uitvoerbaarheid.pdf
ramingstoelichtingen-en-cpb-certificering-pakket-belastingplan-2027	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/ramingstoelichtingen-en-cpb-certificering-pakket-belastingplan-2027/wetsvoorstel-belastingplan-2027-ramingstoelichtingen-en-certificering-pakket-belastingplan-2027.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/ramingstoelichtingen-en-cpb-certificering-pakket-belastingplan-2027__wetsvoorstel-belastingplan-2027-ramingstoelichtingen-en-certificering-pakket-belastingplan-2027.pdf
samenvatting-miljoenennota-2027	01-miljoenennota	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/samenvatting-miljoenennota-2027/samenvatting-miljoenennota-2027.pdf	/workspace/Prinsjesdag-2026-begroting-2027/01-miljoenennota/samenvatting-miljoenennota-2027__samenvatting-miljoenennota-2027.pdf
tabellen-marginale-druk	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/tabellen-marginale-druk/aanbiedingsbrief-bijlage-marginale-druk-en-gemiddelde-druk-2027.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/tabellen-marginale-druk__aanbiedingsbrief-bijlage-marginale-druk-en-gemiddelde-druk-2027.pdf
uitvoeringstoets-belastingdienst-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/uitvoeringstoets-belastingdienst-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups/wetsvoorstel-wet-fiscale-stimulering-start-ups-en-scale-ups-uitvoeringstoets-belastingdienst.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/uitvoeringstoets-belastingdienst-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups__wetsvoorstel-wet-fiscale-stimulering-start-ups-en-scale-ups-uitvoeringstoets-belastingdienst.pdf
uitvoeringstoets-belastingdienst-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/uitvoeringstoets-belastingdienst-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024/wet-veiligehavenregels-wet-minimumbelasting-2024-uitvoeringstoets-belastingdienst.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/uitvoeringstoets-belastingdienst-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024__wet-veiligehavenregels-wet-minimumbelasting-2024-uitvoeringstoets-belastingdienst.pdf
uitvoeringstoetsen-belastingdienst-wetsvoorstel-belastingplan-2027	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/uitvoeringstoetsen-belastingdienst-wetsvoorstel-belastingplan-2027/wetsvoorstel-belastingplan-2027-uitvoeringstoetsen-belastingdienst.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/uitvoeringstoetsen-belastingdienst-wetsvoorstel-belastingplan-2027__wetsvoorstel-belastingplan-2027-uitvoeringstoetsen-belastingdienst.pdf
